strain,isolate,well,growth.rate,GFP.rate,other.rate,run
BB74,J3,D5,1.1991898329700366,424.16996857494206,NA,3
BB74,J3,D9,1.3445577837654443,422.042816982628,NA,3
BB75,J4,D12,1.3680441073757303,410.8747582755091,NA,3
BB75,J4,D4,1.3851416353726895,466.35494488271246,NA,3
BB75,J4,D8,1.2491203346169066,406.6778553131346,NA,3
BB80,J6,F11,1.413055430986132,501.1330049261084,NA,3
BB80,J6,F3,1.4243411855748276,480.92187539879035,NA,3
BB80,J6,F7,1.4114994576773703,447.0075738824811,NA,3
BB81,J7,F12,1.4820087381942249,480.5818937524352,NA,3
BB81,J7,F4,1.3087434907548472,521.2005108556832,NA,3
BB81,J7,F8,1.3441388301646642,438.6945682556471,NA,3
BB82,J8,G10,1.1978393293269112,427.4221353867373,NA,3
BB82,J8,G2,1.1565543284660738,465.3767820773933,NA,3
BB82,J8,G6,1.1987299779819,439.9213924761375,NA,3
BB83,J9,G11,1.2844375823520995,436.90525444766234,NA,3
BB83,J9,G3,1.130449940122963,468.2542449705378,NA,3
BB83,J9,G7,1.307800530620654,364.81520212734176,NA,3
JEB1204,S1,A12,2.0395809652733417,416.9456845238098,NA,3
JEB1204,S1,A4,1.03670297204641,384.6204736911745,NA,3
JEB1204,S1,A8,0.9978048623558093,364.3095862085549,NA,3
JEB1205,S2,B12,1.190069134832928,379.26035268998595,NA,3
JEB1205,S2,B4,1.0628531565048154,374.3906662049493,NA,3
JEB1205,S2,B8,1.6248310789677842,307.77381089485203,NA,3
JEB1206,S3,D11,0.7458982998139998,542.0549581839907,NA,3
JEB1206,S3,D3,0.7703718602155671,324.38107869142357,NA,3
